epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,840.932,1.0614,3.82311,1.36489,0.5986,0.07503,0.12171,0.08823,1.01132,3.55269,1.39195,0.000164794,0.000164794,0.000164794
2,1558.16,1.08721,2.87868,1.37172,0.38238,0.33293,0.27091,0.19387,0.99391,2.69278,1.38917,0.000309584,0.000309584,0.000309584
3,2263.86,1.08081,2.43722,1.34204,0.52741,0.33597,0.3685,0.26549,0.98127,2.40289,1.38885,0.000432375,0.000432375,0.000432375
4,3019.94,1.04809,2.24424,1.34428,0.52017,0.47825,0.46858,0.325,0.9467,2.57173,1.37818,0.000401,0.000401,0.000401
5,3702.27,1.04185,2.09679,1.32723,0.53825,0.56479,0.52603,0.37503,0.9728,2.18567,1.36864,0.000368,0.000368,0.000368
6,4063.76,0.91056,2.12357,1.3153,0.59254,0.54275,0.56101,0.38895,1.02477,2.05069,1.4011,0.000335,0.000335,0.000335
7,4492.85,0.86788,2.02013,1.27397,0.63435,0.54603,0.60006,0.4408,0.90553,1.91181,1.30506,0.000302,0.000302,0.000302
8,5250.73,0.8175,1.87549,1.24253,0.61434,0.65003,0.60964,0.46227,0.85667,1.72231,1.26526,0.000269,0.000269,0.000269
9,5862.54,0.82531,1.76745,1.2243,0.58634,0.6524,0.66014,0.48428,0.87667,1.69888,1.30085,0.000236,0.000236,0.000236
10,6450.62,0.80077,1.68587,1.22352,0.74917,0.6204,0.68014,0.50675,0.81788,1.51757,1.24988,0.000203,0.000203,0.000203
11,7053.96,0.78054,1.59362,1.19184,0.69511,0.62284,0.66145,0.49806,0.80808,1.527,1.23081,0.00017,0.00017,0.00017
12,7547.26,0.73488,1.49665,1.17079,0.74651,0.65368,0.70552,0.52801,0.83435,1.54402,1.24001,0.000137,0.000137,0.000137
13,8112.48,0.7165,1.46481,1.15914,0.7944,0.656,0.71887,0.54959,0.79474,1.42493,1.22096,0.000104,0.000104,0.000104
14,8693.96,0.70077,1.37684,1.12126,0.79864,0.65112,0.72939,0.55959,0.7889,1.41692,1.20733,7.1e-05,7.1e-05,7.1e-05
15,9406.35,0.67404,1.34431,1.11434,0.78716,0.67706,0.73266,0.56488,0.78347,1.40772,1.20056,3.8e-05,3.8e-05,3.8e-05
